"Name -- 2016v1_5","Diff Name -- 2016v1_4","Sequence Number -- 2016v1_5","Sequence Number -- 2016v1_4","Label -- 2016v1_5","Diff Label -- 2016v1_4","Type -- 2016v1_5","Diff Type -- 2016v1_4","Choice Name -- 2016v1_5","Diff Choice Name -- 2016v1_4","Choice Labels -- 2016v1_5","Diff Choice Labels -- 2016v1_4"
"id10414_check","[no match found]","486","","It is not possible to select cigarettes or pipe and 'no' to 'Did (s)he smoke tobacco?'. Please go back and correct the selections.","[no match found]","note","[no match found]",,"[no match found]",,"[no match found]"
"id10415",,"487","399","How many cigarettes did (s)he smoke daily?",,"integer",,,,,
"id10416","[no match found]","488","","How many times did (s)he use tobacco products each day?","[no match found]","integer","[no match found]",,"[no match found]",,"[no match found]"
"health_service_utilization",,"489","400","Health service utilisation",,"begin group",,,,,
"id10418",,"490","401","Did (s)he receive any treatment for the illness that led to death?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10419",,"491","402","Did (s)he receive oral rehydration salts?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10420",,"492","403","Did (s)he receive (or need) intravenous fluids (drip) treatment?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10421",,"493","404","Did (s)he receive (or need) a blood transfusion?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10422",,"494","405","Did (s)he receive (or need) treatment/food through a tube passed through the nose?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10423",,"495","406","Did (s)he receive (or need) injectable antibiotics?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10424",,"496","407","Did (s)he receive (or need) antiretroviral therapy (ART)?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10425",,"497","408","Did (s)he have (or need) an operation for the illness?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10426",,"498","409","Did (s)he have the operation within 1 month before death?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10427",,"499","410","Was (s)he discharged from hospital very ill?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10428",,"500","411","Did (s)he receive any immunizations?","HAD (s)he RECEIVED IMMUNIZATION?","select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10429",,"501","412","Do you have the child's vaccination card?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10430",,"502","413","Can I see the vaccination card (note the vaccines the child received)?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10431",,"503","414","Select EPI vaccines done","NOTE vaccines HERE","select_multiple select_vaccines","TEXT","select_vaccines","TEXT","bcg; dpt 1,2,3; hep b; hib; meningitis; penta 1,2,3; pneumo; polio 1,2,3; rota; no vaccines; doesn’t know; refused to answer","[empty cell]"
"id10431_check","[no match found]","504","","It is not possible to select 'No vaccines', 'Don't know' or 'refuse' together with other options. Please go back and correct the selection.","[no match found]","note","[no match found]",,"[no match found]",,"[no match found]"
"id10432",,"505","415","Was care sought outside the home while (s)he had this illness?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10433",,"506","416","Where or from whom did you seek care?",,"select_multiple select_322","SELECT_ONE select_322","select_322","select_ONE SELECT_322","traditional healer; homeopath; religious leader; government hospital; government health center or clinic; private hospital; community-based practitioner associated with health system; trained birth attendant; private physician; relative, friend (outside household); pharmacy; doesn't know; refused to answer","[empty cell]"
"id10433_check","[no match found]","507","","It is not possible to select 'Don't know' or 'refuse' together with other options. Please go back and correct the selection.","[no match found]","note","[no match found]",,"[no match found]",,"[no match found]"
"id10434",,"508","417","What was the name and address of any hospital, health center or clinic where care was sought","RECORD the name and address of any hospital, health center or clinic where care was sought","text",,,,,
"id10435",,"509","418","Did a health care worker tell you the cause of death?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10436",,"510","419","What did the health care worker say?",,"text",,,,,
"id10437",,"511","420","Do you have any health records that belonged to the deceased?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10438",,"512","421","Can I see the health records?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10439_check","[no match found]","513","","Is the date of the most recent (last) visit available?","[no match found]","select_one YES_NO","[no match found]","yes_no","[no match found]","yes; no","[no match found]"
"id10439",,"514","422","Record the date of the most recent (last) visit",,"date",,,,,
"id10440_check","[no match found]","515","","Is the date of the second most recent visit available?","[no match found]","select_one YES_NO","[no match found]","yes_no","[no match found]","yes; no","[no match found]"
"id10440",,"516","423","Record the date of the second most recent visit","record the date of the LAST BUT ONE (SECOND LAST) visit","date",,,,,
"id10441_check","[no match found]","517","","Is the date of the last note on the health records available?","[no match found]","select_one YES_NO","[no match found]","yes_no","[no match found]","yes; no","[no match found]"
"id10441",,"518","424","Record the date of the last note on the health records",,"date",,,,,
"id10442",,"519","425","Record the weight (in kilogrammes) written at the most recent (last) visit",,"decimal",,,,,
"id10443",,"520","426","Record the weight (in kilogrammes) written at the second most recent visit","record the weight (in kilogrammes) written at the LAST BUT ONE (SECOND LAST) visit","decimal",,,,,
"id10444",,"521","427","Transcribe the last note on the health records",,"text",,,,,
"id10445",,"522","428","Has the deceased’s (biological) mother ever been tested for HIV?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10446",,"523","429","Has the deceased’s (biological) mother ever been told she had HIV/AIDS by a health worker?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"back_context",,"524","430","Background and context",,"begin group",,,,,
"id10450",,"525","431","In the final days before death, did s/he travel to a hospital or health facility?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10451",,"526","432","Did (s)he use motorised transport to get to the hospital or health facility?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10452",,"527","433","Were there any problems during admission to the hospital or health facility?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10453",,"528","434","Were there any problems with the way (s)he was treated (medical treatment, procedures, interpersonal attitudes, respect, dignity) in the hospital or health facility?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10454",,"529","435","Were there any problems getting medications or diagnostic tests in the hospital or health facility?","were there any problems getting MEDICATIONS, or diagnostic tests in the hospital or health facility?","select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10455",,"530","436","Does it take more than 2 hours to get to the nearest hospital or health facility from the deceased's household?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10456",,"531","437","In the final days before death, were there any doubts about whether medical care was needed?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10457",,"532","438","In the final days before death, was traditional medicine used?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10458",,"533","439","In the final days before death, did anyone use a telephone or cell phone to call for help?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10459",,"534","440","Over the course of illness, did the total costs of care and treatment prohibit other household payments?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"deathcert",,"535","441","Death certificate with cause of death",,"begin group",,,,,
"id10462",,"536","442","Was a death certificate issued?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10463",,"537","443","Can I see the death certificate?",,"select_one YES_NO_DK_REF",,"yes_no_dk_ref","SELECT_ONE YES_no_dk_ref","yes; no; doesn't know; refused to answer","[empty cell]"
"id10464",,"538","444","Record the immediate cause of death from the certificate (line 1a)",,"text",,,,,
"id10465",,"539","445","Duration (Ia):",,"text",,,,,
"id10466",,"540","446","Record the first antecedent cause of death from the certificate  (line 1b)",,"text",,,,,
"id10467",,"541","447","Duration (Ib):",,"text",,,,,
"id10468",,"542","448","Record the second antecedent cause of death from the certificate (line 1c)",,"text",,,,,
"id10469",,"543","449","Duration (Ic):",,"text",,,,,
"id10470",,"544","450","Record the third antecedent cause of death from the certificate (line 1d)",,"text",,,,,
"id10471",,"545","451","Duration (Id):",,"text",,,,,
"id10472",,"546","452","Record the contributing cause(s) of death from the certificate (part 2)",,"text",,,,,
"id10473",,"547","453","Duration (part2):",,"text",,,,,
"narrat",,"548","454","Open narrative",,"begin group",,,,,
"id10476",,"549","455","Thank you for your information. Now can you please tell me in your own words about the events that led to the death?","NARRATIVE DESCRIPTION","text",,,,,
"id10477",,"550","456","Select any of the following words that were mentioned as present in the narrative.","ARE THERE any of the following words of INTEREST mentioned in the ABOVE NARRATIVE?","select_multiple select_510",,"select_510",,"chronic kidney disease; dialysis; fever; heart attack; heart problem; jaundice; liver failure; malaria; pneumonia; renal (kidney) failure; suicide; none of the above words were mentioned; don't know",
"id10478",,"551","457","Select any of the following words that were mentioned as present in the narrative.","ARE THERE any of the following words of INTEREST mentioned in the ABOVE NARRATIVE?","select_multiple select_511",,"select_511",,"abdomen; cancer; dehydration; dengue fever; diarrhoea; fever; heart problems; jaundice (yellow skin or eyes); pneumonia; rash; none of the above words were mentioned; don't know",
"id10479",,"552","458","Select any of the following words that were mentioned as present in the narrative.","ARE THERE any of the following words of INTEREST mentioned in the ABOVE NARRATIVE?","select_multiple select_512",,"select_512",,"asphyxia; incubator; lung problem; pneumonia; preterm delivery; respiratory distress; none of the above words were mentioned; don't know",
"id10477_check","[no match found]","553","","It is not possible to select 'Don't know' or 'None of the above' together with other options. Please go back and correct the selection.","[no match found]","note","[no match found]",,"[no match found]",,"[no match found]"
"id10478_check","[no match found]","554","","It is not possible to select 'Don't know' or 'None of the above' together with other options. Please go back and correct the selection.","[no match found]","note","[no match found]",,"[no match found]",,"[no match found]"
"id10479_check","[no match found]","555","","It is not possible to select 'Don't know' or 'None of the above' together with other options. Please go back and correct the selection.","[no match found]","note","[no match found]",,"[no match found]",,"[no match found]"
"id10481",,"556","459","[empty cell]","TIME AT END OF INTERVIEW","end","TIME",,,,
"comment","[no match found]","557","","Comment","[no match found]","text","[no match found]",,"[no match found]",,"[no match found]"
"Not included in 2016v1_5","age_neonate_hours","","301","","Enter neonate's age in hours:","","integer","","[empty cell]","","[empty cell]"
"Not included in 2016v1_5","age_neonate_minutes","","312","","Enter neonate's age in minutes:","","integer","","[empty cell]","","[empty cell]"
"Not included in 2016v1_5","Id10056","","412","","What was her/his place of normal residence 1 to 5 years before death?","","text","","[empty cell]","","[empty cell]"
"Not included in 2016v1_5","illdurnote","","19","","For how long was (s)he ill before death?","","note","","[empty cell]","","[empty cell]"
"Not included in 2016v1_5","Id10184","","87","","How many days before death did the frequent loose or liquid stools start?","","integer","","[empty cell]","","[empty cell]"
"Not included in 2016v1_5","Id10190","","94","","For how many days before death did (s)he vomit?","","integer","","[empty cell]","","[empty cell]"
"Not included in 2016v1_5","a_pain_how_long","","102","","For how long before death did (s)he have belly (abdominal) pain?","","note","","[empty cell]","","[empty cell]"
"Not included in 2016v1_5","Id10197b","","105","","Weeks","","integer","","[empty cell]","","[empty cell]"
